Responder ID,1. Sex,2. Age,3. Household Type,4. Housing Type,5. Do you like gardening?,6. Reason for not liking gardening,7. Do you own plants?,8. If yeas what is the reason you own plants?,9. Have you heard of smart gardening,10. What do yu think it is?,11. Would you buy an SHG device?,12. Have you bough an SHG device?,13. Reason for purchasing a SHG device,14. Where would you use it?,15. What aspects do you care about,16.1 Air Care,16.2 Smartphone App,16.3 Real-time Monitoring,16.4 Environment Control,16.5 Self-watering,16.6 Light Control,17. Which design looks appealing?,18. What would make you likely buy this product?,19. How much are you willing to pay?,20. How often would you grow new plants?,21. What type of plants do you like to grow?,22. How would you purchase this product?,"23. Now, you know a bit more about smart gardening, how likely are you to buy a smart",8.1 Decoration - Home interior,"8.2 Growing herbs, veggies, fruits",8.3 Hobby,8.4 Healing - Reduce Stress,8.5 Well-being ,13.1 It is easy to use,13.2 I can grow perfect and fresh herbs and vegetables,13.3 To teach my kids about gardening/farming,13.4 To make the house look prettier,13.5 I like smart technologies,13.6 Can minimize the time,13.7 Stress relief through plants,15.1 Convenience,15.2 Quality,15.3 Brand,15.4 Price,15.5 Design,15.6 Maintenance service,15.7 Innovation,15.8 Reliability,15.9 Safety,21.1 Succulents,21.2 Flowers,21.3 Fruits,21.4 Vegetables,21.5 Herbs,21.6 Air Purifying Plants
11,1,1,3,1,2,"I don't have time, I don't know how to take care of plants, I don't enjoy gardening, I have to keep the plants for long time",2,"No, I don't own any plants",1,자동 관리 ,1,2,"It is easy to use, To make the house look prettier",House,"Convenience, Quality, Price, Maintenance service",4,2,3,4,5,5,3,Comprehensive gardening guide,3,2,"Succulents, Fruits, Vegetables, Herbs, Air Purifying Plants",2,4,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1
12,1,1,3,1,2,I don't enjoy gardening,1,Others,2,IOT가 결합된 가드닝,1,2,It is easy to use,House,"Quality, Innovation, Reliability, Safety",2,5,1,4,5,5,3,Event promotion,2,2,"Succulents, Flowers, Fruits, Vegetables, Herbs, Air Purifying Plants",2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
13,1,1,3,1,2,"I don't know how to take care of plants, I don't have the space for plants",2,"No, I don't own any plants",2,알아서 자라는 식물..?,2,2,"It is easy to use, Can minimize the time","Office/business, Personal Business/Office space","Convenience, Price, Maintenance service",3,5,4,4,5,5,5,More technological features,2,3,"Succulents, Fruits, Herbs, Air Purifying Plants",1,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1
14,1,1,3,4,2,"I don't know how to take care of plants, I don't have the space for plants, I don't like having bugs in the house",2,Decoration - Home interior,2,"자동 급수, 인공태양같은 효과, 좁은 땅에 최대효율",2,2,"I can grow perfect and fresh herbs and vegetables, Can minimize the time, I like smart technologies","House, Personal Business/Office space","Convenience, Design, Safety",4,3,3,3,5,5,4,"Aesthetic design, More plant options",3,3,Herbs,2,4,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
15,1,1,1,2,1,"Yes, I like gardening",2,"No, I don't own any plants",1,조경,1,2,It is easy to use,House,"Convenience, Price",3,3,3,3,3,3,4,Aesthetic design,1,5,"Flowers, Vegetables",1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
16,1,1,3,1,1,I don't have time,2,"No, I don't own any plants",2,iot 기반 홈가드닝,2,2,I like smart technologies,House,"Maintenance service, Reliability",4,5,5,5,5,5,3,Event promotion,3,2,Herbs,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
17,1,1,2,1,1,"Yes, I like gardening",2,"No, I don't own any plants",1,전자적으로 관리가 편리한 가드닝시스템,1,2,"It is easy to use, I can grow perfect and fresh herbs and vegetables, Stress relief through plants, To make the house look prettier",House,"Convenience, Brand, Price, Design, Maintenance service",5,5,4,4,4,4,1,"Pick-up wilted plant option, More technological features, Comprehensive gardening guide",3,3,"Flowers, Fruits, Vegetables",2,5,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0
18,1,1,1,2,1,"Yes, I like gardening",1,"Hobby, Healing - Reduce Stress",2,스마트팜,1,2,I can grow perfect and fresh herbs and vegetables,Office/business,Maintenance service,4,4,3,3,4,4,3,More technological features,1,3,"Herbs, Air Purifying Plants",1,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
19,1,1,3,1,2,I don't know how to take care of plants,2,"No, I don't own any plants",2,센서와 스마트 홈을 이용해 자동으로 식물을 관리하는 것,1,2,"It is easy to use, I can grow perfect and fresh herbs and vegetables, Stress relief through plants, Can minimize the time, To make the house look prettier, I like smart technologies","House, Office/business","Convenience, Price",3,4,4,4,5,5,4,"More technological features, Event promotion",1,2,"Fruits, Vegetables, Herbs, Air Purifying Plants",1,4,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1
20,1,1,2,1,2,I don't enjoy gardening,2,"No, I don't own any plants",2,생활에 도움되는 정원,1,2,I like smart technologies,House,Reliability,5,5,4,4,5,4,5,Customization,2,2,Flowers,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
21,1,1,1,1,1,"Yes, I like gardening",1,"Decoration - Home interior, Growing herbs, veggies, fruits, Hobby, Healing - Reduce Stress, Well-being ",2,.,2,2,None,House,"Price, Safety",3,3,3,3,3,3,3,Event promotion,1,1,Vegetables,4,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
22,1,1,4,4,2,Others,1,Healing - Reduce Stress,2,알아서 식물이 죽지 않고 잘 자라도록 키워주는 것?,1,2,Can minimize the time,House,"Convenience, Quality, Design",5,3,2,2,5,5,3,None,1,6,"Vegetables, Herbs, Air Purifying Plants",1,4,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1
23,1,1,1,2,2,"I don't have time, I don't know how to take care of plants, I don't have the space for plants, I don't know where to start",2,"No, I don't own any plants",2,모름,2,2,None,"Office/business, Personal Business/Office space","Convenience, Price, Design",4,3,3,3,3,3,4,"Aesthetic design, Customization, Comprehensive gardening guide",2,6,"Succulents, Flowers, Fruits, Herbs, Air Purifying Plants",1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1
24,1,1,2,2,2,I don't have time,1,Decoration - Home interior,2,집에서 스마트 기기를 이용해서 식물 키우는것,1,2,"It is easy to use, Can minimize the time, To make the house look prettier",House,"Convenience, Price, Design",3,4,3,4,4,4,3,"Aesthetic design, Customization",5,2,"Flowers, Air Purifying Plants",1,4,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1
25,1,1,3,1,2,"I don't know how to take care of plants, I don't have the space for plants, I don't enjoy gardening",2,"No, I don't own any plants",2,Ai기반,2,2,To make the house look prettier,House,"Convenience, Design",4,4,4,4,4,4,2,Aesthetic design,2,4,Fruits,2,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
26,1,1,2,1,2,I don't enjoy gardening,1,Decoration - Home interior,2,보안시스템?,1,2,I like smart technologies,House,Convenience,4,3,2,2,4,4,3,More technological features,1,6,"Succulents, Air Purifying Plants",1,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
27,1,1,3,1,2,I don't know how to take care of plants,2,"No, I don't own any plants",2,첨단 기술로 집에서 식물을 키우는 시스템인것 같습니다.,1,2,"It is easy to use, I can grow perfect and fresh herbs and vegetables, I like smart technologies",House,"Convenience, Quality, Price, Maintenance service, Innovation, Reliability",5,4,3,2,4,4,4,"Aesthetic design, Customization, More technological features",3,2,"Succulents, Herbs, Air Purifying Plants",1,4,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1
28,1,1,3,1,2,I don't have time,2,"No, I don't own any plants",2,automated gardening,1,2,It is easy to use,House,"Convenience, Quality, Design, Reliability",5,5,3,3,5,3,3,More technological features,1,3,"Succulents, Flowers, Herbs, Air Purifying Plants",1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1
29,1,1,1,2,2,Gardening is an expensive hobby,2,"No, I don't own any plants",2,기존 홈가드닝의 단점을 해결한 새로운 홈가드닝이라고 생각합니다.,2,2,I can grow perfect and fresh herbs and vegetables,Personal Business/Office space,"Price, Maintenance service, Reliability, Safety",4,4,4,5,5,5,3,More plant options,1,2,"Fruits, Vegetables",6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0
30,1,1,1,5,2,I don't have the space for plants,2,"No, I don't own any plants",2,It tech를 이용한 가드닝,2,2,It is easy to use,House,"Convenience, Quality, Price, Design, Maintenance service, Innovation, Reliability, Safety",5,5,4,5,5,5,4,More technological features,2,2,"Flowers, Herbs, Air Purifying Plants",1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1
31,1,1,3,1,1,I don't know how to take care of plants,2,"Decoration - Home interior, No, I don't own any plants",1,청결,1,2,Stress relief through plants,Office/business,Quality,2,1,2,2,1,1,4,Customization,2,2,Flowers,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
32,1,1,1,2,1,"Yes, I like gardening",2,"No, I don't own any plants",1,모바일로 연결되어 식물 상태,1,2,"Can minimize the time, I like smart technologies","House, Office/business, Personal Business/Office space","Convenience, Quality, Price, Design, Maintenance service",5,5,4,4,2,4,4,"Aesthetic design, Customization",3,3,"Flowers, Herbs, Air Purifying Plants",1,4,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1
33,1,2,2,1,1,"Yes, I like gardening",1,Hobby,2,주기적으로 어떻게 관리해야하는지 알림을 주어서 하는 가드닝,1,2,I like smart technologies,House,Convenience,3,3,3,3,3,3,3,Aesthetic design,2,1,Vegetables,1,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,1,2,4,6,2,"I don't have time, I don't know how to take care of plants, I don't like having bugs in the house",2,"No, I don't own any plants",2,집에서 식물을 기르는것,2,2,Stress relief through plants,House,"Convenience, Quality, Price, Maintenance service",5,5,5,5,5,5,1,Aesthetic design,2,6,"Herbs, Air Purifying Plants",2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1
35,1,2,1,2,1,"I don't have time, I don't like having bugs in the house",1,"Hobby, Healing - Reduce Stress, Well-being ",1,집에서 농사짓기 ,1,2,"I can grow perfect and fresh herbs and vegetables, Stress relief through plants, To teach my kids about gardening/farming",House,"Convenience, Quality, Brand, Price, Design, Maintenance service, Innovation, Reliability, Safety",5,5,5,5,5,5,4,"Aesthetic design, Customization",1,5,"Flowers, Fruits, Vegetables, Air Purifying Plants",2,4,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
36,1,2,1,2,1,"Yes, I like gardening",2,"No, I don't own any plants",1,관리의 불편함을 해소하고 집에서도 식물을 편하게 다양하게 키울 수 있도록 해주는 것,1,2,"It is easy to use, Can minimize the time, I like smart technologies",House,"Convenience, Quality, Price, Design, Innovation, Reliability",1,5,5,3,5,5,1,"Aesthetic design, Customization, More plant options, More technological features",3,3,"Air Purifying Plants, Others",2,4,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1
37,1,2,1,3,1,"Yes, I like gardening",2,"No, I don't own any plants",2,집에서 편하게 관리하는 가드닝?,1,2,"It is easy to use, I can grow perfect and fresh herbs and vegetables, To make the house look prettier","House, Office/business, Personal Business/Office space","Convenience, Quality, Price, Design, Maintenance service",4,4,2,3,3,4,4,More plant options,3,3,"Succulents, Herbs, Air Purifying Plants",1,4,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1
38,1,2,3,1,2,I don't enjoy gardening,2,"No, I don't own any plants",1,LED 조명,2,2,It is easy to use,Office/business,Innovation,5,5,5,5,5,5,3,Aesthetic design,2,2,Air Purifying Plants,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
39,1,2,5,1,2,I don't like having bugs in the house,2,"No, I don't own any plants",1,IOT 조절 식물 생육,1,2,To teach my kids about gardening/farming,House,"Convenience, Price, Safety",4,4,4,4,4,4,4,"Aesthetic design, Customization, More plant options, Event promotion",3,3,"Succulents, Flowers, Herbs, Air Purifying Plants",2,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1
40,1,2,3,1,1,"Yes, I like gardening",1,Hobby,2,어플로 가드닝에 대해 전문적으로 배우는것,1,2,I like smart technologies,House,Convenience,1,4,4,4,1,1,4,More plant options,1,5,Flowers,1,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,1,2,5,1,1,"Yes, I like gardening",1,"Decoration - Home interior, Well-being ",2,자동으로 물 주고 영양분 주는...?,2,2,"It is easy to use, Can minimize the time",Office/business,"Convenience, Quality, Design, Maintenance service, Safety",5,1,1,1,5,4,1,"Aesthetic design, More plant options",2,6,Air Purifying Plants,2,3,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1
42,1,2,2,1,1,"Yes, I like gardening",1,"Decoration - Home interior, Hobby, Healing - Reduce Stress",2,센서가 수분및 양분 광량 습도 조절을 해줌,1,2,"It is easy to use, I can grow perfect and fresh herbs and vegetables, Stress relief through plants",House,"Convenience, Price, Design",4,4,4,4,4,4,3,"More technological features, Others",2,1,Air Purifying Plants,1,5,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
43,1,2,1,2,1,"Yes, I like gardening",1,Healing - Reduce Stress,2,처음 들어봅니다,1,2,"It is easy to use, Stress relief through plants","House, Office/business, Personal Business/Office space","Convenience, Quality, Price, Design, Maintenance service",2,3,2,3,1,1,3,More technological features,2,3,"Succulents, Herbs, Air Purifying Plants",1,4,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1
44,1,2,3,1,2,I don't know how to take care of plants,2,"No, I don't own any plants",1,꽃키우는거,2,2,I like smart technologies,Office/business,Convenience,2,2,2,2,2,2,3,Event promotion,2,4,Air Purifying Plants,6,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,1,2,1,2,2,"I don't have time, I don't like having bugs in the house, 신경을 못쓰면 죽어버린다 ",2,"No, I don't own any plants",2, 모름,1,2,Stress relief through plants,House,"Convenience, Price",1,4,4,4,4,4,5,Aesthetic design,2,4,"Flowers, Fruits, Herbs",1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0
46,1,2,3,1,1,"Yes, I like gardening",1,"Decoration - Home interior, Growing herbs, veggies, fruits, Hobby, Healing - Reduce Stress",2,처음 들어봅니다,1,2,"It is easy to use, I can grow perfect and fresh herbs and vegetables, Stress relief through plants, To teach my kids about gardening/farming, To make the house look prettier","House, Office/business, Personal Business/Office space","Convenience, Quality, Price, Design, Maintenance service, Innovation, Reliability, Safety",4,4,4,4,4,4,4,"Aesthetic design, Customization, More plant options, Pick-up wilted plant option, More technological features",2,3,"Succulents, Herbs, Air Purifying Plants",1,5,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1
47,1,2,1,2,2,I don't enjoy gardening,2,"No, I don't own any plants",2,집에서 쉽게 식물 키우기,2,2,To make the house look prettier,House,Convenience,5,1,1,1,1,1,3,Customization,1,1,"Flowers, Air Purifying Plants",4,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
48,1,2,2,1,1,I don't like having bugs in the house,1,Decoration - Home interior,2,쉽고 체계적인 관리,1,2,"It is easy to use, To make the house look prettier","House, Office/business","Convenience, Quality, Design, Maintenance service",2,3,3,2,4,4,4,Aesthetic design,4,3,"Flowers, Air Purifying Plants",2,4,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1
49,1,2,3,1,2,I don't have time,1,Decoration - Home interior,1,자동으로 물을 주고 채광을 조절해 주는 시스템,2,1,I like smart technologies,Personal Business/Office space,"Price, Maintenance service, Reliability",2,2,2,3,2,2,3,More technological features,1,4,"Flowers, Air Purifying Plants",3,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1
50,1,2,1,2,1,"Yes, I like gardening",2,"No, I don't own any plants",2,데코 의미 이상으로 집에서 식물을 재배하는 것,2,2,"It is easy to use, Can minimize the time, I like smart technologies",Office/business,Design,5,3,3,4,4,4,4,"Aesthetic design, Customization, Event promotion",2,3,"Flowers, Vegetables, Herbs, Air Purifying Plants",1,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1
51,1,2,3,1,2,"I don't enjoy gardening, I don't like having bugs in the house",2,"No, I don't own any plants",2,가드닝을 하는데 드는 노력을 없애주는 서비스,2,2,I can grow perfect and fresh herbs and vegetables,House,"Convenience, Quality, Price, Maintenance service, Reliability, Safety",3,3,3,3,5,5,4,"More technological features, Comprehensive gardening guide",2,3,Herbs,1,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0
52,1,2,5,1,2,I don't have time,2,"No, I don't own any plants",2,웰스,2,2,To teach my kids about gardening/farming,Office/business,Design,4,4,3,3,4,4,5,Aesthetic design,2,4,Herbs,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
53,1,2,1,4,1,"Yes, I like gardening",2,"No, I don't own any plants",2,원격 가드닝?,2,2,Stress relief through plants,House,"Convenience, Quality, Price",3,5,4,4,4,5,2,"Aesthetic design, Comprehensive gardening guide",2,6,Flowers,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
54,1,2,5,1,1,"Yes, I like gardening",1,Decoration - Home interior,1,육성에도움이되는디지털기술,1,2,I can grow perfect and fresh herbs and vegetables,House,Convenience,4,4,4,4,4,4,5,"Aesthetic design, Customization",1,1,Air Purifying Plants,1,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,1,2,5,1,1,"Yes, I like gardening",1,Healing - Reduce Stress,2,모릅니다,1,2,It is easy to use,House,Convenience,5,3,3,3,5,5,4,Comprehensive gardening guide,3,2,"Fruits, Vegetables",2,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
56,1,2,1,2,1,"Yes, I like gardening",1,Others,1,변화,2,2,Can minimize the time,Personal Business/Office space,"Convenience, Safety",3,5,4,3,1,1,3,Comprehensive gardening guide,5,4,Others,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57,1,2,1,2,2,I don't have the space for plants,2,"No, I don't own any plants",2,스마트 홈가드닝,2,2,It is easy to use,Office/business,Convenience,5,5,5,5,5,5,4,Aesthetic design,1,3,Herbs,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,1,2,1,1,2,I don't enjoy gardening,2,"No, I don't own any plants",2,.,2,2,None,House,"Reliability, Safety",4,1,1,4,4,4,3,More technological features,3,6,"Flowers, Air Purifying Plants",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
59,1,2,5,1,1,I don't have the space for plants,1,"Decoration - Home interior, Growing herbs, veggies, fruits",1,집에서 쉽게 식물을 키울 수 있는 것,1,2,To teach my kids about gardening/farming,House,"Convenience, Quality, Price, Design, Maintenance service",4,4,4,4,4,4,4,"Aesthetic design, Comprehensive gardening guide, Event promotion",2,4,"Flowers, Fruits, Vegetables",2,4,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0
60,1,2,4,1,1,"Yes, I like gardening",1,Decoration - Home interior,1,스마트,2,2,"It is easy to use, Can minimize the time","House, Office/business","Convenience, Quality, Price, Design",4,5,5,5,5,4,4,"Customization, Pick-up wilted plant option",2,3,"Succulents, Flowers, Herbs, Air Purifying Plants",2,4,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1
61,1,2,1,1,2,I don't have time,2,"No, I don't own any plants",2,모름,2,2,None,Office/business,Design,5,1,1,5,5,5,4,"Aesthetic design, Customization",5,6,Air Purifying Plants,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
62,1,2,1,2,2,"Gardening is an expensive hobby, I don't know where to start",2,"No, I don't own any plants",2,집에서 키우는 식물,2,2,It is easy to use,Office/business,Convenience,4,3,3,3,4,4,4,Customization,1,4,"Succulents, Flowers, Air Purifying Plants",3,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
63,1,2,3,1,1,"Yes, I like gardening",1,Well-being ,1,"IOT, 스마트폰, AI ",2,2,To make the house look prettier,Office/business,"Quality, Price, Design, Maintenance service, Reliability, Safety",5,4,4,4,5,5,1,"More technological features, Event promotion",3,5,Air Purifying Plants,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1
